ID,Source_Referent_ID,Target_Referent_ID,Relation
1,1003,1002,<
2,1005,1002,<
3,1008,1007,<
4,1011,1004,M
5,1013,1007,<
6,1014,1004,M
7,1016,1007,<
8,1018,1011,M
9,1024,1021,<
10,1026,1021,<
11,1027,1006,M
12,1028,1007,<
13,1028,1008,>
14,1028,1016,>
15,1030,1007,<
16,1031,1003,>
17,1031,1030,>
18,1034,1008,M
19,2005,2003,>
20,2005,2004,>
21,2009,2004,<
22,2011,2004,<
23,2014,2008,M
24,2015,2014,M
25,2017,2004,<
26,2018,2004,<
27,2018,2017,<
28,2021,2018,M
29,2023,2004,<
30,2023,2017,<
31,2028,2016,M
32,2031,2016,M
33,2034,2033,M
34,2035,2004,<
35,2035,2017,<
36,2035,2011,>
37,2035,2018,>
38,2036,2008,>
39,2043,2043,M
40,2045,2032,<
41,2047,2016,M
42,2048,2016,M
43,2049,2016,M
44,2052,2011,M
45,2053,2040,<
46,2055,2040,<
47,2058,2032,<
48,2059,2018,M
49,2060,2040,<
50,2062,2032,<
51,2066,2065,<
52,2069,2068,<
53,2070,2065,<
54,2070,2067,<
55,2073,2067,<
56,2076,2070,>
57,2076,2073,>
58,2081,2004,>
59,2081,2011,>
60,2081,2017,>
61,2081,2018,>
62,2081,2023,>
63,2081,2035,>
64,2081,2040,>
65,2081,2053,>
66,2081,2055,>
67,2081,2060,>
68,2087,2085,M
69,2088,2085,M
70,2092,2018,>
71,2092,2055,>
72,2093,2090,M
73,2095,2094,M
74,2096,2023,>
75,2096,2060,>
76,2098,2094,M
77,2099,2094,M
78,2100,2094,M
79,2102,2094,M
80,2106,2046,>
81,2106,2104,>
82,2108,2107,M
83,2111,2064,>
84,2111,2110,>
85,2112,2111,>
86,3003,3002,<
87,3004,3002,<
88,3005,3002,<
89,3006,3004,M
90,3013,3001,>
91,3013,3002,>
92,3013,3003,>
93,3013,3004,>
94,3013,3005,>
95,3021,3001,>
96,3021,3003,>
97,3030,3005,>
98,3030,3029,>
99,3034,3031,M
100,3036,3005,>
101,3036,3029,>
102,3036,3030,>
103,3036,3033,>
104,3038,3033,>
105,3046,3040,>
106,3046,3044,>
107,3046,3045,>
108,4005,4002,M
109,4030,4025,<
110,4032,4025,<
111,4032,4030,<
112,4033,4025,<
113,4033,4030,<
114,4034,4025,<
115,4034,4030,<
116,4037,4002,>
117,4037,4036,>
118,4038,4037,<
119,4039,4038,<
120,4039,4002,>
121,4039,4036,>
122,4041,4000,>
123,4044,4002,>
124,4044,4042,>
125,4048,4044,<
126,4051,4044,<
127,4052,4000,>
128,4071,4070,M
129,4078,4075,<
130,4079,4078,M
131,4085,4073,>
132,4085,4075,>
133,4086,4041,<
134,4087,4002,M
135,5004,5003,<
136,5005,5003,<
137,5006,5003,<
138,5009,5003,<
139,5009,5005,>
140,5009,5006,>
141,5015,5004,M
142,5023,5020,M
143,5024,5020,M
144,5025,5020,M
145,5033,5030,>
146,5033,5031,>
147,5033,5032,>
148,5034,5004,>
149,5034,5020,>
150,5040,5004,M
151,5041,5004,M
152,5049,5035,M
153,5050,5035,M
154,5052,5004,M
155,5056,5004,M
156,5056,5020,M
157,5058,5005,M
158,5066,5005,>
159,5066,5020,>
160,5067,5005,M
161,5067,5020,M
162,5068,5031,>
163,5068,5064,>
164,5068,5065,>
165,5069,5020,>
166,5071,5038,M
167,5075,5005,M
168,5076,5005,M
169,5077,5035,M
170,5079,5069,<
171,5083,5004,>
172,5083,5005,>
173,5091,5006,>
174,5091,5020,>
175,5095,5006,M
176,5096,5006,M
177,5098,5006,M
178,5099,5006,M
179,5113,5020,M
180,5115,5020,M
181,5116,5053,>
